Lat,Lng,Count
40.85,-73.96,111
40.85,-73.93,101
40.72,-111.9,97
40.85,-73.94,86
45.51,-122.67,76
25.93,-80.21,75
45.5,-122.67,71
40.73,-73.92,68
25.81,-80.21,68
45.53,-122.67,66
45.58,-122.54,66
41.83,-71.42,65
40.71,-111.9,64
25.79,-80.21,64
25.94,-80.19,64
40.64,-111.9,62
25.91,-80.21,61
40.55,-111.9,60
25.9,-80.21,60
40.6,-74.06,59
25.87,-80.21,59
41.88,-87.65,59
25.92,-80.21,58
40.84,-73.93,58
40.56,-111.9,58
45.52,-122.7,57
40.73,-73.87,56
40.43,-111.89,54
39.63,-104.91,54
34.04,-118.27,53
34.16,-118.47,53
39.89,-104.99,53
33.83,-118.21,52
41.96,-87.74,52
34.06,-118.0,52
40.85,-73.92,51
33.78,-117.88,51
37.81,-122.37,51
41.78,-87.63,51
41.9,-87.66,50
40.77,-111.95,50
37.84,-122.3,50
40.73,-111.9,49
45.51,-122.78,49
45.53,-122.69,49
41.89,-87.65,48
39.9,-104.99,47
25.99,-80.17,47
25.82,-80.21,46
29.73,-95.46,46
41.8,-71.4,46
33.95,-118.09,45
38.99,-76.37,45
39.72,-105.01,45
47.61,-122.33,45
33.88,-118.1,45
25.79,-80.2,45
40.57,-111.9,44
45.51,-122.72,44
39.78,-104.9,44
45.54,-122.67,44
40.69,-111.9,44
39.78,-104.91,44
39.73,-105.02,44
45.56,-122.68,43
40.59,-111.9,43
33.95,-118.37,43
40.65,-111.9,43
28.55,-81.38,43
40.81,-73.93,43
40.67,-111.9,43
40.66,-111.9,43
33.98,-118.39,43
46.24,-123.87,43
25.89,-80.21,43
40.71,-74.0,42
33.99,-118.4,42
40.63,-111.9,42
41.77,-87.63,42
45.61,-122.68,42
47.57,-122.32,42
41.85,-87.64,42
40.72,-111.95,42
41.66,-87.59,42
34.02,-118.17,41
40.69,-74.0,41
34.04,-118.44,41
34.03,-118.22,41
40.74,-111.9,41
45.51,-122.68,41
39.78,-104.99,41
28.66,-81.39,41
40.7,-111.94,41
33.63,-84.4,41
33.77,-84.39,41
39.86,-104.99,41
34.08,-118.23,41
45.52,-122.67,41
40.84,-73.9,40
39.87,-75.1,40
34.04,-118.28,40
40.68,-74.0,40
40.78,-73.94,40
25.78,-80.2,40
34.06,-118.25,39
33.97,-118.08,39
40.74,-73.85,39
28.48,-81.45,39
25.85,-80.21,39
37.65,-122.1,39
32.78,-96.78,39
40.82,-73.93,39
40.7,-73.99,39
25.97,-80.17,39
37.77,-122.41,39
28.53,-81.39,38
42.31,-122.85,38
40.72,-111.89,38
34.03,-118.27,38
40.73,-74.13,38
42.35,-83.1,38
45.53,-122.58,38
33.94,-118.1,38
41.86,-87.64,37
29.81,-95.34,37
45.15,-122.89,37
37.36,-121.9,37
47.6,-122.32,37
40.53,-111.89,36
41.82,-87.63,36
41.88,-87.66,36
40.74,-73.84,36
32.79,-96.81,36
40.72,-111.88,36
33.98,-118.08,35
40.63,-111.88,35
41.85,-87.63,35
40.67,-74.0,35
33.93,-118.29,35
25.84,-80.21,35
34.03,-118.43,35
47.63,-122.33,35
25.96,-80.17,35
33.9,-84.27,35
37.6,-122.06,35
40.84,-73.87,35
37.83,-122.27,34
28.69,-81.39,34
41.84,-87.63,34
33.69,-84.4,34
45.52,-122.69,34
32.92,-96.78,34
34.17,-118.47,34
33.75,-84.38,34
40.82,-73.88,34
41.87,-87.64,34
41.87,-87.92,34
32.76,-117.16,34
33.8,-84.39,33
45.57,-122.55,33
45.42,-122.74,33
41.73,-87.62,33
45.53,-122.57,33
40.73,-111.95,33
40.82,-73.89,33
45.28,-122.77,33
45.53,-122.63,33
40.61,-111.91,32
40.6,-111.9,32
38.54,-121.47,32
39.77,-104.99,32
28.56,-81.38,32
40.72,-111.86,32
42.35,-122.88,32
45.53,-122.65,32
32.89,-96.71,32
41.94,-87.72,32
39.78,-104.88,32
39.76,-105.01,32
33.87,-118.2,31
37.74,-122.41,31
25.78,-80.32,31
34.01,-118.42,31
25.81,-80.32,31
32.92,-96.77,31
44.06,-123.1,31
39.04,-94.68,31
44.97,-93.27,31
45.56,-122.57,31
43.11,-123.36,31
33.86,-118.29,31
41.81,-87.63,31
28.54,-81.38,30
45.39,-122.75,30
32.79,-96.73,30
26.08,-80.17,30
34.03,-118.23,30
25.83,-80.21,30
29.8,-95.34,30
25.89,-80.32,30
33.77,-118.08,30
29.93,-95.41,30
45.57,-122.68,30
33.89,-84.46,30
34.05,-118.45,30
26.27,-80.13,30
41.73,-72.66,30
40.7,-112.26,30
34.03,-118.44,30
34.07,-117.84,30
39.75,-105.02,30
37.32,-121.94,29
33.88,-118.19,29
32.88,-96.9,29
40.74,-73.86,29
44.06,-123.05,29
44.92,-122.99,29
32.77,-117.16,29
37.64,-122.09,29
37.32,-121.9,29
45.6,-122.68,29
41.87,-87.89,29
34.07,-118.0,29
45.53,-122.66,28
45.07,-122.96,28
41.17,-112.02,28
45.51,-122.71,28
39.01,-94.69,28
26.16,-80.16,28
41.83,-87.63,28
39.13,-94.5,28
40.75,-111.91,28
47.62,-122.19,28
34.05,-118.26,28
29.71,-95.27,28
26.11,-80.17,28
41.88,-87.67,28
34.08,-118.22,28
41.04,-111.95,28
33.93,-118.18,28
40.71,-73.82,28
29.87,-95.41,28
34.07,-117.56,28
47.62,-122.33,28
42.32,-122.86,28
40.84,-73.88,28
33.76,-84.38,28
33.77,-84.5,28
45.51,-122.57,28
40.52,-111.89,28
33.78,-84.39,28
40.62,-111.9,27
36.14,-86.73,27
25.85,-80.32,27
40.76,-111.97,27
45.5,-122.57,27
47.29,-122.31,27
33.88,-118.09,27
45.54,-122.56,27
45.36,-122.61,27
25.78,-80.24,27
33.74,-117.83,27
33.96,-118.37,27
40.72,-111.94,27
40.5,-111.89,27
45.55,-122.68,27
33.79,-84.39,27
34.32,-118.5,27
45.54,-122.68,27
29.77,-95.46,27
34.06,-118.21,27
45.38,-122.76,27
41.82,-71.42,27
41.84,-71.41,27
34.03,-118.21,27
42.37,-83.06,27
40.77,-74.02,26
36.87,-76.2,26
47.64,-122.32,26
33.93,-84.49,26
41.79,-87.63,26
42.13,-122.63,26
40.64,-111.93,26
39.09,-94.59,26
40.72,-111.87,26
33.85,-118.28,26
45.51,-122.74,26
32.8,-96.69,26
34.16,-118.38,26
39.71,-105.0,26
41.81,-71.37,26
33.71,-117.78,26
34.03,-117.33,26
34.06,-117.82,26
34.15,-118.47,26
32.9,-96.71,26
42.38,-83.15,26
38.88,-77.25,26
40.73,-111.99,26
41.07,-111.97,26
34.05,-118.21,26
36.97,-76.51,26
40.91,-111.89,26
26.31,-80.12,26
34.03,-118.03,26
34.06,-118.22,26
37.86,-122.03,26
33.69,-117.87,25
47.24,-122.42,25
33.91,-84.36,25
40.73,-74.12,25
37.63,-122.08,25
33.96,-117.31,25
32.74,-96.82,25
33.93,-118.28,25
40.7,-112.02,25
42.41,-83.08,25
38.98,-76.34,25
34.1,-118.25,25
41.75,-87.63,25
33.91,-118.11,25
47.46,-122.27,25
40.75,-73.77,25
35.24,-80.84,25
36.84,-76.16,25
34.01,-117.82,25
44.16,-121.26,25
29.81,-95.37,25
32.87,-96.67,25
37.75,-122.4,25
41.03,-111.95,25
37.69,-122.13,25
33.91,-117.45,25
39.79,-104.99,25
45.44,-122.74,25
33.65,-84.37,25
45.58,-122.68,25
38.43,-122.72,25
33.47,-112.11,25
40.74,-73.93,25
34.05,-118.27,25
25.87,-80.32,25
25.78,-80.27,25
37.58,-122.05,25
45.51,-122.69,24
33.82,-84.36,24
37.68,-122.13,24
37.83,-122.29,24
39.01,-77.04,24
42.38,-83.22,24
27.44,-82.46,24
33.92,-118.1,24
39.22,-76.66,24
40.85,-73.91,24
45.52,-122.57,24
29.69,-95.28,24
45.0,-123.0,24
25.86,-80.32,24
45.51,-122.75,24
32.91,-96.73,24
29.83,-95.38,24
44.97,-93.25,24
32.93,-96.76,24
39.62,-104.9,24
47.6,-122.33,24
25.69,-80.39,24
34.04,-118.22,24
32.92,-96.79,24
40.64,-111.91,24
38.88,-77.23,24
41.6,-87.58,24
32.76,-97.32,24
33.9,-84.25,24
28.51,-81.4,24
45.49,-122.68,24
42.42,-82.93,24
33.97,-118.37,24
47.23,-122.43,24
45.53,-122.64,24
25.86,-80.21,24
26.04,-80.16,24
38.26,-122.06,24
26.01,-80.17,24
25.93,-80.2,24
33.77,-118.07,24
29.78,-95.37,24
34.04,-118.17,24
37.72,-121.66,24
34.16,-118.45,24
45.29,-122.77,24
33.99,-118.28,24
34.12,-117.87,24
34.12,-117.84,24
34.01,-117.96,24
39.06,-94.49,24
36.15,-86.76,24
39.95,-104.99,23
37.88,-122.05,23
33.93,-118.25,23
40.7,-111.89,23
37.85,-122.3,23
37.32,-121.89,23
34.16,-118.43,23
27.96,-82.47,23
41.99,-87.87,23
33.88,-84.47,23
35.22,-80.84,23
34.02,-118.28,23
32.83,-96.78,23
40.76,-111.99,23
29.78,-95.46,23
33.74,-84.39,23
34.19,-118.47,23
33.85,-117.88,23
30.39,-81.56,23
38.85,-77.43,23
40.7,-111.9,23
40.54,-111.89,23
34.08,-118.47,23
33.95,-118.17,23
37.82,-122.27,23
40.75,-74.21,23
41.24,-111.97,23
40.48,-111.91,23
38.97,-77.18,23
34.22,-118.47,23
29.69,-95.38,23
34.02,-118.43,23
34.0,-117.87,23
34.05,-118.23,23
41.78,-72.66,23
40.88,-111.9,23
40.72,-73.83,23
34.01,-118.17,23
33.8,-84.4,23
34.07,-117.55,23
44.95,-122.99,23
42.54,-83.12,23
40.74,-73.97,23
39.78,-105.01,23
42.48,-83.12,23
40.75,-73.94,23
34.05,-118.22,23
45.54,-122.48,23
33.96,-118.28,22
32.79,-96.79,22
39.82,-104.97,22
26.0,-80.17,22
35.23,-80.86,22
47.48,-122.2,22
33.86,-118.3,22
33.68,-117.88,22
37.67,-122.47,22
41.15,-112.03,22
38.66,-121.36,22
47.23,-122.46,22
34.02,-118.19,22
47.47,-122.22,22
33.39,-111.93,22
34.03,-118.34,22
33.94,-84.51,22
41.88,-71.38,22
34.04,-118.31,22
28.52,-81.39,22
32.78,-96.77,22
26.13,-80.17,22
37.99,-122.07,22
41.8,-87.63,22
26.72,-80.09,22
42.42,-83.09,22
43.05,-76.15,22
34.13,-118.35,22
26.17,-80.16,22
25.81,-80.2,22
40.8,-111.92,22
28.48,-81.44,22
33.99,-117.36,22
33.87,-117.75,22
35.23,-80.83,22
47.66,-122.32,22
29.7,-95.3,22
25.73,-80.32,22
26.14,-80.17,22
45.45,-122.72,22
37.55,-122.29,22
45.47,-122.57,22
41.67,-72.85,22
34.16,-118.46,22
33.91,-117.88,22
33.98,-84.34,22
44.43,-121.88,22
43.04,-87.93,22
33.46,-112.02,22
28.6,-81.39,22
25.95,-80.19,22
44.89,-122.99,22
41.89,-87.92,22
45.21,-122.83,22
39.59,-104.88,22
39.82,-104.98,22
45.47,-122.68,22
40.73,-111.97,22
34.26,-118.44,22
38.94,-94.75,22
28.57,-81.38,21
34.14,-117.99,21
37.41,-122.08,21
40.77,-73.88,21
40.71,-111.8,21
47.58,-122.32,21
41.86,-87.92,21
25.78,-80.34,21
33.79,-118.09,21
25.92,-80.3,21
25.8,-80.32,21
25.77,-80.32,21
32.98,-117.25,21
33.92,-118.28,21
39.84,-104.98,21
29.74,-95.36,21
33.7,-84.17,21
42.37,-83.05,21
33.89,-84.26,21
45.43,-122.57,21
40.3,-111.73,21
37.99,-122.31,21
45.11,-122.92,21
34.18,-118.31,21
41.92,-87.68,21
29.9,-95.41,21
34.11,-118.26,21
34.15,-118.13,21
33.63,-84.41,21
34.06,-117.28,21
45.47,-122.69,21
41.87,-87.77,21
44.09,-123.1,21
34.0,-117.93,21
26.56,-80.07,21
34.01,-118.16,21
41.76,-87.88,21
44.05,-121.31,21
40.51,-111.89,21
33.95,-117.3,21
32.88,-96.7,21
32.93,-96.75,21
45.23,-122.81,21
40.72,-112.22,21
41.86,-71.4,21
38.94,-94.54,21
34.03,-118.02,21
38.87,-76.99,21
39.73,-105.06,21
42.96,-87.94,21
32.68,-97.24,21
40.73,-73.93,21
34.11,-118.25,21
42.48,-83.11,21
33.81,-118.17,21
41.16,-112.02,21
39.1,-94.59,21
40.83,-111.92,21
34.08,-117.72,21
45.49,-122.67,21
37.36,-121.84,21
40.68,-111.9,21
41.92,-87.67,21
33.99,-118.07,21
41.05,-111.96,21
33.86,-118.04,20
33.93,-118.1,20
38.56,-121.47,20
34.24,-118.47,20
45.54,-122.69,20
37.49,-122.21,20
34.24,-118.42,20
34.17,-118.59,20
45.53,-122.6,20
26.23,-80.14,20
33.87,-118.28,20
32.78,-117.11,20
40.52,-74.3,20
37.85,-122.03,20
34.02,-117.99,20
33.69,-84.5,20
33.93,-118.32,20
42.4,-83.11,20
47.68,-122.32,20
40.63,-111.89,20
37.34,-121.85,20
37.96,-122.51,20
36.17,-86.77,20
33.97,-117.85,20
33.97,-117.33,20
39.8,-104.99,20
34.15,-118.37,20
40.63,-111.82,20
26.03,-80.17,20
40.7,-73.96,20
33.77,-84.53,20
45.41,-122.57,20
41.08,-111.98,20
40.99,-111.9,20
39.1,-84.52,20
28.61,-81.39,20
39.25,-76.68,20
40.83,-73.87,20
26.09,-80.22,20
43.13,-123.36,20
32.92,-96.75,20
40.99,-73.68,20
40.69,-73.81,20
40.7,-111.85,20
39.85,-104.99,20
34.15,-118.28,20
47.21,-122.46,20
37.54,-77.43,20
33.86,-118.01,20
33.88,-118.08,20
33.7,-84.27,20
41.97,-87.75,20
34.07,-117.8,20
38.99,-76.88,20
44.91,-122.99,20
47.24,-122.4,20
33.82,-118.21,20
33.91,-118.15,20
47.56,-122.32,20
40.76,-111.89,20
40.78,-74.04,20
33.98,-117.34,20
34.12,-118.48,20
40.49,-111.89,20
34.07,-118.13,20
47.77,-122.19,20
